"account_id","post_id","Category","Page","Post.URL","Date.Published","Post.Type","Rating","Debate","share_count","reaction_count","comment_count"
184096565021911,1041403982624494,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1041403982624494","2016-09-26","video","no factual content","",NA,23,13
219367258105115,1284917638216733,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1284917638216733","2016-09-21","link","mostly true","",13,57,45
184096565021911,1041047845993441,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1041047845993441","2016-09-26","video","no factual content","",114,169,72
389658314427637,1537113223015468,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1537113223015468","2016-09-23","link","mostly true","",11,57,2
135665053303678,552242684979244,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/552242684979244","2016-09-21","link","mostly true","",86,526,19
135665053303678,552242514979261,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/552242514979261","2016-09-21","link","mostly true","",96,123,16
219367258105115,1282820688426428,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1282820688426428","2016-09-20","link","mostly true","",1,89,77
135665053303678,553592701510909,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/553592701510909","2016-09-26","link","no factual content","",4,29,5
389658314427637,1541064949286962,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1541064949286962","2016-09-27","link","mixture of true and false","",1119,2869,41
184096565021911,1041225769308982,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1041225769308982","2016-09-26","link","mostly true","",8,22,29
389658314427637,1537331469660310,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1537331469660310","2016-09-23","link","mostly true","",74,234,16
184096565021911,1041985262566366,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1041985262566366","2016-09-27","video","mostly true","yes",27,540,119
346937065399354,1253239891435729,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1253239891435729","2016-09-27","photo","no factual content","yes",24356,84835,1396
219367258105115,1284049991636831,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1284049991636831","2016-09-21","link","mostly true","",53,374,138
62317591679,10153844548621680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153844548621680","2016-09-20","link","mostly true","",26,407,329
184096565021911,1037856692979223,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1037856692979223","2016-09-22","link","mostly true","",18,46,21
114517875225866,1467102943300679,"left","The Other 98%","https://www.facebook.com/TheOther98/posts/1467102943300679","2016-09-23","video","mostly true","",NA,2673,296
62317591679,10153850595811680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153850595811680","2016-09-22","link","mostly true","",352,911,262
135665053303678,554504451419734,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/554504451419734","2016-09-27","link","no factual content","",4,11,0
346937065399354,1253073828119002,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1253073828119002","2016-09-26","photo","mostly true","yes",18787,64701,1655
62317591679,10153841655851680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153841655851680","2016-09-19","link","mostly true","",200,1151,271
62317591679,10153847992896680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153847992896680","2016-09-21","link","mostly true","",46,340,46
219367258105115,1286745671367263,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1286745671367263","2016-09-23","link","mostly true","",12,153,106
440106476051475,1246207908774657,"right","Freedom Daily","https://www.facebook.com/FreedomDailyNews/posts/1246207908774657","2016-09-19","link","mostly true","",1203,1956,715
346937065399354,1253304291429289,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1253304291429289","2016-09-27","video","mostly true","yes",322630,210016,13508
219367258105115,1284795924895571,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1284795924895571","2016-09-21","link","mostly true","",53,299,262
219367258105115,1285776904797473,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1285776904797473","2016-09-22","link","mostly true","",21,123,82
62317591679,10153844039931680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153844039931680","2016-09-20","link","mostly true","",27,129,57
219367258105115,1285748874800276,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1285748874800276","2016-09-22","link","mostly true","",109,564,396
135665053303678,553000281570151,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/553000281570151","2016-09-23","link","mostly true","",12,19,27
219367258105115,1291428494232314,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1291428494232314","2016-09-27","link","mostly true","",8,95,47
440106476051475,1247384335323681,"right","Freedom Daily","https://www.facebook.com/FreedomDailyNews/posts/1247384335323681","2016-09-20","link","mixture of true and false","",6053,8949,5697
346937065399354,1253262431433475,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1253262431433475","2016-09-27","photo","no factual content","yes",58940,68577,2281
135665053303678,554510938085752,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/554510938085752","2016-09-27","link","mixture of true and false","",11,40,7
346937065399354,1246739995419052,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1246739995419052","2016-09-20","link","mixture of true and false","",13073,26222,1395
62317591679,10153850066671680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153850066671680","2016-09-22","link","mostly true","",91,503,251
62317591679,10153863957971680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153863957971680","2016-09-27","link","mostly true","",113,525,65
389658314427637,1533484480045009,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1533484480045009","2016-09-19","link","mixture of true and false","",635,1604,296
135665053303678,554509488085897,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/554509488085897","2016-09-27","link","mixture of true and false","",474,1071,15
62317591679,10153862549226680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153862549226680","2016-09-27","link","mostly true","yes",22,773,55
135665053303678,551721511698028,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/551721511698028","2016-09-19","link","mostly true","",40,205,19
114517875225866,1471951622815811,"left","The Other 98%","https://www.facebook.com/TheOther98/posts/1471951622815811","2016-09-27","photo","no factual content","yes",6185,27732,203
184096565021911,1041555632609329,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1041555632609329","2016-09-26","photo","mostly true","yes",6,43,14
219367258105115,1284002751641555,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1284002751641555","2016-09-21","link","mostly true","",46,259,126
346937065399354,1253052404787811,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1253052404787811","2016-09-26","link","mostly true","",1063,3631,121
135665053303678,552216604981852,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/552216604981852","2016-09-21","link","mostly true","",44,126,96
146422995398181,1450101585030309,"left","Addicting Info","https://www.facebook.com/AddictingInfoOrg/posts/1450101585030309","2016-09-22","link","mixture of true and false","",709,2951,82
219367258105115,1289810424394121,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1289810424394121","2016-09-26","video","mostly true","",184,1490,597
219367258105115,1285982404776923,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1285982404776923","2016-09-22","link","mostly true","",12,82,53
219367258105115,1290187427689754,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1290187427689754","2016-09-26","video","mostly true","",73,503,801
219367258105115,1283552648353232,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1283552648353232","2016-09-20","link","mostly true","",75,285,187
114517875225866,1471344899543150,"left","The Other 98%","https://www.facebook.com/TheOther98/posts/1471344899543150","2016-09-27","link","mostly true","yes",1971,14502,1094
440106476051475,1253626604699454,"right","Freedom Daily","https://www.facebook.com/FreedomDailyNews/posts/1253626604699454","2016-09-27","link","mostly true","",611,1324,86
62317591679,10153846136131680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153846136131680","2016-09-21","link","mostly true","",1,32,4
62317591679,10153846995896680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153846995896680","2016-09-21","link","mostly true","",82,1607,101
346937065399354,1248773611882357,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1248773611882357","2016-09-22","video","mostly true","",70418,48704,2549
184096565021911,1035057923259100,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035057923259100","2016-09-19","video","no factual content","",NA,146,15
184096565021911,1037826349648924,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1037826349648924","2016-09-22","video","mostly true","",NA,128,5
389658314427637,1537273286332795,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1537273286332795","2016-09-23","link","mostly true","",986,1907,793
219367258105115,1284107788297718,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1284107788297718","2016-09-21","link","mostly true","",115,775,544
62317591679,10153860396816680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153860396816680","2016-09-26","link","mostly true","",12,22,23
219367258105115,1282889278419569,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1282889278419569","2016-09-20","link","mostly true","",9,95,95
184096565021911,1038922299539329,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1038922299539329","2016-09-23","link","mostly true","",6,22,8
346937065399354,1249861458440239,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1249861458440239","2016-09-23","link","mostly false","",2593,7929,631
440106476051475,1246879678707480,"right","Freedom Daily","https://www.facebook.com/FreedomDailyNews/posts/1246879678707480","2016-09-20","link","mostly false","",3697,5811,206
440106476051475,1249057001823081,"right","Freedom Daily","https://www.facebook.com/FreedomDailyNews/posts/1249057001823081","2016-09-22","link","mixture of true and false","",349,622,311
440106476051475,1247479088647539,"right","Freedom Daily","https://www.facebook.com/FreedomDailyNews/posts/1247479088647539","2016-09-21","link","mostly false","",1474,2551,538
346937065399354,1247582008668184,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1247582008668184","2016-09-21","photo","no factual content","",1,24487,655
219367258105115,1287150634660100,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1287150634660100","2016-09-23","link","mostly true","",20,128,85
184096565021911,1037810572983835,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1037810572983835","2016-09-22","video","mostly true","",8,19,18
62317591679,10153851181391680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153851181391680","2016-09-23","link","mostly true","",3,65,28
219367258105115,1286720611369769,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1286720611369769","2016-09-23","link","mostly true","",14,178,125
135665053303678,552242831645896,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/552242831645896","2016-09-22","photo","mixture of true and false","",593,732,20
184096565021911,1041860072578885,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1041860072578885","2016-09-27","video","mostly true","yes",45,366,116
146422995398181,1449551611751973,"left","Addicting Info","https://www.facebook.com/AddictingInfoOrg/posts/1449551611751973","2016-09-21","link","mostly true","",218,748,154
114517875225866,1470887229588917,"left","The Other 98%","https://www.facebook.com/TheOther98/posts/1470887229588917","2016-09-26","photo","no factual content","yes",1,20036,521
219367258105115,1285705561471274,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1285705561471274","2016-09-22","link","mostly true","",218,1016,411
219367258105115,1282229875152176,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1282229875152176","2016-09-19","link","mostly true","",72,584,215
135665053303678,551474158389430,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/551474158389430","2016-09-19","link","mostly false","",1507,1107,147
219367258105115,1286999761341854,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1286999761341854","2016-09-23","link","mostly true","",497,3244,437
135665053303678,554502851419894,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/554502851419894","2016-09-27","link","no factual content","",50,113,18
389658314427637,1536456256414498,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1536456256414498","2016-09-22","link","mixture of true and false","",95,324,55
62317591679,10153847457141680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153847457141680","2016-09-21","link","mostly true","",1,81,30
135665053303678,553589888177857,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/553589888177857","2016-09-26","photo","no factual content","",293,500,18
135665053303678,552581958278650,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/552581958278650","2016-09-22","link","mixture of true and false","",92,108,41
135665053303678,554690588067787,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/554690588067787","2016-09-27","link","no factual content","",49,116,7
146422995398181,1455922947781506,"left","Addicting Info","https://www.facebook.com/AddictingInfoOrg/posts/1455922947781506","2016-09-26","link","mostly true","",1156,6117,229
146422995398181,1449942021712932,"left","Addicting Info","https://www.facebook.com/AddictingInfoOrg/posts/1449942021712932","2016-09-21","link","mixture of true and false","",258,1104,191
219367258105115,1283341205041043,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1283341205041043","2016-09-20","link","mostly true","",43,293,248
389658314427637,1535425153184275,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1535425153184275","2016-09-21","link","mostly true","",59,480,4
184096565021911,1041149182649974,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1041149182649974","2016-09-26","video","no factual content","",NA,35,11
184096565021911,1041100572654835,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1041100572654835","2016-09-26","video","no factual content","",205,1049,997
62317591679,10153850022861680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153850022861680","2016-09-22","link","mostly true","",15,263,22
62317591679,10153847662691680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153847662691680","2016-09-21","link","mostly true","",423,4139,195
146422995398181,1455558234484644,"left","Addicting Info","https://www.facebook.com/AddictingInfoOrg/posts/1455558234484644","2016-09-26","link","mostly false","",4587,7960,2770
346937065399354,1249881725104879,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1249881725104879","2016-09-23","link","mostly true","",772,2878,284
146422995398181,1447381958635605,"left","Addicting Info","https://www.facebook.com/AddictingInfoOrg/posts/1447381958635605","2016-09-19","link","mostly true","",827,3491,161
135665053303678,551518255051687,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/551518255051687","2016-09-19","link","mixture of true and false","",264,290,10
389658314427637,1537083299685127,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1537083299685127","2016-09-23","link","mostly true","",659,818,93
62317591679,10153850489266680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153850489266680","2016-09-22","link","mostly true","",18,324,56
440106476051475,1247208265341288,"right","Freedom Daily","https://www.facebook.com/FreedomDailyNews/posts/1247208265341288","2016-09-20","link","mostly true","",104,572,166
114517875225866,1470814329596207,"left","The Other 98%","https://www.facebook.com/TheOther98/posts/1470814329596207","2016-09-26","link","mostly false","",32181,48387,2551
346937065399354,1248758405217211,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1248758405217211","2016-09-22","video","mixture of true and false","",9854,18236,578
62317591679,10153861646446680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153861646446680","2016-09-26","link","mostly true","yes",212,4119,188
184096565021911,1035801043184788,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1035801043184788","2016-09-19","link","mostly true","",25,263,87
135665053303678,551828408354005,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/551828408354005","2016-09-20","link","no factual content","",82,61,1
346937065399354,1253083338118051,"left","Occupy Democrats","https://www.facebook.com/OccupyDemocrats/posts/1253083338118051","2016-09-26","link","no factual content","",7198,27398,482
219367258105115,1286887648019732,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1286887648019732","2016-09-23","link","mostly true","",21,188,209
184096565021911,1038059326292293,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1038059326292293","2016-09-22","link","mostly true","",2,63,16
62317591679,10153844773411680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153844773411680","2016-09-20","link","mostly true","",5,78,28
440106476051475,1246475268747921,"right","Freedom Daily","https://www.facebook.com/FreedomDailyNews/posts/1246475268747921","2016-09-19","link","mostly false","",54,109,39
135665053303678,552242491645930,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/552242491645930","2016-09-21","link","no factual content","",96,177,41
219367258105115,1283845758323921,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1283845758323921","2016-09-20","link","mostly true","",56,184,224
62317591679,10153861921181680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153861921181680","2016-09-27","link","mostly true","yes",27,377,305
184096565021911,1041765635921662,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1041765635921662","2016-09-27","video","mostly true","yes",73,204,98
62317591679,10153861035666680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153861035666680","2016-09-26","link","mostly true","",11,31,26
135665053303678,554505034753009,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/554505034753009","2016-09-27","link","mixture of true and false","",1340,1270,130
62317591679,10153845031566680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153845031566680","2016-09-20","photo","mostly true","",8,62,65
135665053303678,552704678266378,"right","Eagle Rising","https://www.facebook.com/theEagleisRising/posts/552704678266378","2016-09-22","link","mostly true","",19,82,6
62317591679,10153841929731680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153841929731680","2016-09-19","link","mostly true","",704,1636,284
184096565021911,1041035462661346,"mainstream","ABC News Politics","https://www.facebook.com/ABCNewsPolitics/posts/1041035462661346","2016-09-26","link","mostly true","",14,261,59
219367258105115,1285360621505768,"mainstream","CNN Politics","https://www.facebook.com/cnnpolitics/posts/1285360621505768","2016-09-22","link","mostly true","",27,426,108
62317591679,10153843180546680,"mainstream","Politico","https://www.facebook.com/politico/posts/10153843180546680","2016-09-20","link","mostly true","",12,79,54
389658314427637,1533231846736939,"right","Right Wing News","https://www.facebook.com/OfficialRightWingNews/posts/1533231846736939","2016-09-19","link","mostly true","",21,66,6
